f1,target
1.8111917875112535,1
2.005358604879383,1
0.9118240515620902,1
2.3312084828906796,1
0.25210397437112886,1
-0.6028034929863801,1
-0.2598537833410932,1
1.2735662401716399,1
0.6906416797118866,1
-0.837476434993919,0
-1.0356022775416704,0
1.3031408733887881,1
2.723161899838174,1
-1.0305688330410223,0
-0.9895231586644764,0
-0.9437404670856748,0
1.6564921702321453,1
0.6799204445959239,1
-0.8188334026147499,0
-1.0550884242274416,0
-0.8936742860137759,0
-1.042606365245131,0
1.8086743379127204,1
-0.948480578391492,0
-1.0300054055310077,0
1.463418383045385,1
-1.0225517259704209,0
-0.9493761068214883,0
-1.0960985328745774,0
-0.9548619087353963,0
-0.9935122266848687,0
-1.0668322394573,0
-0.9448146602323473,0
0.19187181518635632,1
-0.9655804522414483,0
-1.203819503362479,0
0.9489243216394431,1
-0.7631929986680079,0
0.7102834232621057,1
2.188449643730426,1
-0.9278943427779055,0
-0.9655403083852323,0
2.252951207841761,0
0.38941956859946614,1
-1.1692752384499108,0
-0.829172627577757,0
1.7251223242138962,1
0.08519474887798639,1
1.4211426593555339,1
-0.8834991706429132,0
-1.1030947356272973,0
0.978819027091313,1
2.0724811199172235,1
-1.4293092739676796,0
-1.0033535102397573,0
-0.9672694194424605,0
0.736996164401496,1
-1.056666961309416,0
-0.20513303954055773,1
1.8767537032727373,1
0.8604058200604316,1
-0.9990683829399292,0
0.11904599558201356,1
1.7684015732160903,1
1.5146941750260208,1
-0.9804288922429683,0
-1.178109335717018,0
1.8138726011448871,1
0.5590129196884648,1
-1.227763993868432,0
0.5969110219954491,1
-1.1417487551425363,0
-1.0095409880851403,0
-0.9811521976960081,0
0.4942809300211519,1
0.5382058972779926,1
-1.09816691962335,0
-0.7899920160875502,0
0.9281484588073121,1
1.6534910764534116,1
-1.0269014469489077,0
-0.9707935364589582,0
-1.1056586524898275,0
1.1149801030381807,0
0.7080781773702961,1
-0.8182945999477376,0
2.865520479152803,1
1.4193963560051868,1
-0.9867115795133162,0
0.9855636172593878,1
-0.8834350136014778,0
-1.0558411717782028,0
-0.9810752695647538,0
-0.9794149348215709,0
0.3921569811048148,1
-0.9143553302864519,0
-0.4384940971767324,1
1.075780727780234,1
1.2271106229884639,1
-1.0380809583754964,0
