IV1,IV2,DV
2,1023,5.5
1,794,8.9
1,647,7.7
9,2074,11.0
2,491,7.7
13,1484,10.4
5,2431,11.9
0,501,14.3
10,895,9.1
10,1419,11.1
12,429,7.1
9,1229,6.3
22,1535,9.7
2,443,6.1
2,444,12.2
9,1354,10.4
5,456,6.9
12,1789,11.1
1,446,6.8
0,1029,14.0
2,1955,13.6
2,954,7.7
3,587,8.0
4,1384,13.9
10,2423,14.1
11,2220,13.0
0,401,7.4
3,1408,8.5
0,583,8.8
1,819,7.4
12,1315,9.0
3,2230,14.8
1,1474,13.1
4,1552,13.3
7,984,9.1
16,1529,11.1
2,916,10.4
7,1376,11.3
9,1367,9.8
3,2146,11.3
0,1141,11.7
4,1145,10.0
4,1022,5.4
2,531,5.6
16,2431,13.6
5,1146,10.7
13,1246,6.6
0,594,13.8
2,723,5.2
9,1594,10.9
0,611,7.5
18,1919,11.1
9,1578,10.2
0,1871,11.0
3,1038,6.2
0,1041,7.0
9,1594,12.4
7,1678,15.0
9,2237,13.1
1,1277,8.4
10,2186,14.6
1,898,12.5
4,850,9.9
14,2049,11.9
1,767,11.5
1,862,8.5
7,1448,10.0
11,1068,9.2
8,1769,13.8
5,1422,12.4
9,1072,7.5
5,1016,6.8
4,2861,13.1
0,1041,10.8
3,708,7.6
12,2538,14.0
6,1387,12.9
1,554,5.7
3,1237,13.3
13,888,6.5
3,1849,11.2
3,1005,8.7
2,1907,11.5
3,517,5.3
0,841,5.1
4,1839,11.1
8,1449,11.4
17,1926,10.9
0,1831,12.2
2,963,6.8
7,1646,13.0
0,827,5.1
10,1463,10.0
5,570,9.3
4,1924,14.5
8,1449,10.2
4,1247,8.4
2,822,12.1
4,782,7.4
1,172,5.1
3,448,6.3
7,892,7.4
8,739,5.3
18,1111,7.2
5,1716,13.4
6,335,5.7
2,1284,8.9
0,839,11.8
18,410,5.4
3,1291,10.5
1,638,13.5
1,1332,10.7
0,946,7.1
12,3027,14.7
21,594,6.9
16,1903,12.7
4,1981,13.9
4,1495,14.9
6,1603,11.0
12,827,5.9
2,1078,7.4
0,133,5.3
5,1998,12.3
0,433,13.4
5,1302,10.4
6,1642,13.2
1,992,6.2
0,988,6.1
2,345,6.1
0,541,5.4
0,937,11.5
5,1980,12.1
4,1277,8.3
0,571,5.9
0,162,10.6
2,1491,9.3
2,887,8.7
9,550,5.5
15,1016,5.4
3,1604,11.4
3,1528,11.3
2,598,7.1
0,505,7.1
1,1062,10.5
14,1290,6.8
12,813,5.4
13,1488,10.1
1,2108,14.3
8,807,5.1
0,145,5.0
14,480,6.8
12,951,8.5
7,393,7.6
9,910,5.8
17,1898,12.9
6,511,10.1
1,672,5.2
10,1456,12.3
7,1016,9.9
2,471,9.1
0,478,13.4
0,739,9.6
20,1332,9.1
22,2448,12.2
2,783,11.7
5,1266,11.2
1,914,8.9
0,591,12.4
6,1171,12.7
8,1839,14.4
7,1508,10.4
3,1033,6.0
4,731,13.3
16,1421,11.2
1,1040,12.3
4,600,8.2
1,893,9.1
14,847,5.1
0,899,12.8
7,541,5.5
10,623,5.8
12,1063,5.9
7,1304,12.0
17,1478,8.9
0,329,12.2
1,431,6.4
0,581,11.4
5,1338,12.0
0,2726,11.9
2,1238,7.5
8,1845,9.7
8,1839,11.1
1,1050,12.5
4,1301,12.3
10,1211,6.5
9,150,5.3
10,1683,11.3
2,1389,15.0
3,771,10.1
9,1144,7.6
6,787,9.3
0,1002,11.6
3,676,5.3
2,591,6.5
11,2392,13.3
1,500,5.6
8,883,6.6
10,1187,13.9
19,2352,13.9
0,1378,8.6
6,1749,13.6
3,897,9.1
5,1320,9.6
0,451,7.0
8,1230,10.3
5,1230,7.1
4,1058,8.0
4,1155,12.8
13,2099,13.1
3,406,8.2
2,747,11.2
4,923,12.2
13,2054,12.8
23,288,5.4
19,1239,6.5
2,1427,8.8
2,2403,13.2
6,1867,11.8
8,1008,11.0
4,1580,9.6
6,602,6.6
14,340,5.8
12,697,6.8
14,1972,11.7
5,1752,12.0
7,648,5.6
4,1961,14.3
11,2188,15.0
6,910,10.5
0,842,14.8
13,560,6.4
1,1418,9.3
2,403,9.5
5,732,13.0
0,1009,9.3
4,863,13.9
1,716,6.5
7,1398,10.5
15,1576,9.8
19,1700,8.5
0,1039,13.9
11,1916,14.8
1,872,5.2
12,475,5.3
0,808,12.4
3,1112,8.9
4,294,5.8
5,1074,13.2
11,1090,10.6
2,324,11.0
8,1905,12.3
21,1606,8.5
4,725,7.5
15,1612,9.0
2,1659,14.4
0,259,10.4
8,1945,13.6
0,865,6.2
7,773,8.2
17,1858,11.0
7,1080,6.8
15,1160,6.3
6,1528,13.1
7,1368,10.8
13,1854,11.2
0,336,6.1
3,1810,10.9
6,2553,14.7
1,785,8.6
0,901,6.3
4,302,5.9
3,1159,8.2
1,530,7.5
5,627,9.8
2,648,14.3
5,948,8.4
4,527,6.9
5,786,10.5
10,1847,9.9
0,831,5.3
0,523,15.0
1,596,6.7
3,680,6.2
18,1555,10.9
8,1149,11.1
3,745,6.0
7,1268,11.9
5,780,10.8
7,824,6.2
6,805,9.3
5,2781,13.8
2,897,11.6
4,1247,13.3
0,578,5.4
5,405,5.8
3,1000,7.9
2,723,7.3
3,913,11.2
3,788,7.4
10,1077,10.9
2,1840,13.5
10,781,7.2
2,1879,14.5
6,551,7.8
3,1213,12.1
6,700,8.5
9,934,5.6
3,644,8.9
0,634,10.6
6,950,7.3
0,364,7.0
11,789,7.7
21,1270,9.8
4,950,6.1
1,350,5.6
0,385,10.9
1,694,13.2
4,1093,10.2
15,844,5.2
0,836,5.2
1,650,14.7
0,2157,13.1
20,2121,9.8
4,2215,15.0
9,1490,8.9
2,435,8.4
8,828,8.0
15,1971,11.1
0,773,14.9
13,1765,11.5
3,2629,14.4
4,653,6.9
16,2846,15.0
16,1105,7.7
5,1098,14.1
5,727,12.7
2,366,11.3
2,1137,11.4
4,1193,13.5
7,1720,14.2
1,629,5.9
4,1585,8.7
5,2742,13.2
4,2589,13.9
